"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Huizen";406;"Huizen";41273;"02-09-2020";"15-09-2020";28;67,8;0;0;0;0
"Hulst";677;"Hulst";27556;"02-09-2020";"15-09-2020";3;10,9;0;0;0;0
"IJsselstein";353;"IJsselstein";34109;"02-09-2020";"15-09-2020";10;29,3;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"02-09-2020";"15-09-2020";11;40,3;0;0;0;0
"Kampen";166;"Kampen";54319;"02-09-2020";"15-09-2020";33;60,8;0;0;0;0
"Kapelle";678;"Kapelle";12695;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Katwijk";537;"Katwijk";65753;"02-09-2020";"15-09-2020";23;35;1;1,5;0;0
"Kerkrade";928;"Kerkrade";45749;"02-09-2020";"15-09-2020";27;59;0;0;0;0
"Koggenland";1598;"Koggenland";22749;"02-09-2020";"15-09-2020";10;44;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"02-09-2020";"15-09-2020";17;57,6;0;0;0;0
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"02-09-2020";"15-09-2020";48;85,2;1;1,8;0;0
"Laarbeek";1659;"Laarbeek";22523;"02-09-2020";"15-09-2020";8;35,5;0;0;0;0
"Landerd";1685;"Landerd";15730;"02-09-2020";"15-09-2020";1;6,4;0;0;0;0
"Landgraaf";882;"Landgraaf";37445;"02-09-2020";"15-09-2020";12;32;0;0;0;0
"Landsmeer";415;"Landsmeer";11491;"02-09-2020";"15-09-2020";15;130,5;0;0;0;0
"Langedijk";416;"Langedijk";28163;"02-09-2020";"15-09-2020";13;46,2;0;0;0;0
"Lansingerland";1621;"Lansingerland";62384;"02-09-2020";"15-09-2020";61;97,8;0;0;0;0
"Laren";417;"Laren";11280;"02-09-2020";"15-09-2020";3;26,6;0;0;0;0
"Leeuwarden";80;"Leeuwarden";124084;"02-09-2020";"15-09-2020";54;43,5;0;0;0;0
"Leiden";546;"Leiden";125099;"02-09-2020";"15-09-2020";202;161,5;2;1,6;0;0
"Leiderdorp";547;"Leiderdorp";27056;"02-09-2020";"15-09-2020";8;29,6;0;0;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"02-09-2020";"15-09-2020";126;164,6;3;3,9;1;1,3
"Lelystad";995;"Lelystad";78598;"02-09-2020";"15-09-2020";35;44,5;0;0;1;1,3
"Leudal";1640;"Leudal";35879;"02-09-2020";"15-09-2020";8;22,3;0;0;0;0
"Leusden";327;"Leusden";30401;"02-09-2020";"15-09-2020";22;72,4;0;0;2;6,6
"Lingewaard";1705;"Lingewaard";46601;"02-09-2020";"15-09-2020";25;53,6;0;0;0;0
"Lisse";553;"Lisse";22955;"02-09-2020";"15-09-2020";12;52,3;0;0;0;0
"Lochem";262;"Lochem";33729;"02-09-2020";"15-09-2020";6;17,8;0;0;0;0
"Loon op Zand";809;"Loon op Zand";23408;"02-09-2020";"15-09-2020";8;34,2;0;0;0;0
"Lopik";331;"Lopik";14467;"02-09-2020";"15-09-2020";7;48,4;1;6,9;0;0
"Loppersum";24;"Loppersum";9537;"02-09-2020";"15-09-2020";2;21;0;0;0;0
"Losser";168;"Losser";22683;"02-09-2020";"15-09-2020";10;44,1;0;0;0;0
"Maasdriel";263;"Maasdriel";25030;"02-09-2020";"15-09-2020";9;36;0;0;0;0
"Maasgouw";1641;"Maasgouw";23965;"02-09-2020";"15-09-2020";7;29,2;0;0;0;0
"Maassluis";556;"Maassluis";33213;"02-09-2020";"15-09-2020";34;102,4;1;3;0;0
"Maastricht";935;"Maastricht";121575;"02-09-2020";"15-09-2020";54;44,4;0;0;0;0
"Medemblik";420;"Medemblik";45101;"02-09-2020";"15-09-2020";3;6,7;0;0;0;0
"Meerssen";938;"Meerssen";18828;"02-09-2020";"15-09-2020";3;15,9;1;5,3;0;0
"Meierijstad";1948;"Meierijstad";81194;"02-09-2020";"15-09-2020";17;20,9;0;0;0;0
"Meppel";119;"Meppel";33920;"02-09-2020";"15-09-2020";5;14,7;0;0;0;0
"Middelburg";687;"Middelburg";48822;"02-09-2020";"15-09-2020";25;51,2;0;0;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"02-09-2020";"15-09-2020";16;82,7;1;5,2;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"02-09-2020";"15-09-2020";2;6;0;0;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"02-09-2020";"15-09-2020";18;29,6;1;1,6;0;0
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"02-09-2020";"15-09-2020";8;73,1;0;0;0;0
"Moerdijk";1709;"Moerdijk";37129;"02-09-2020";"15-09-2020";22;59,3;0;0;0;0
"Molenlanden";1978;"Molenlanden";43909;"02-09-2020";"15-09-2020";12;27,3;1;2,3;0;0
"Montferland";1955;"Montferland";36011;"02-09-2020";"15-09-2020";11;30,5;1;2,8;0;0
"Montfoort";335;"Montfoort";13917;"02-09-2020";"15-09-2020";13;93,4;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"02-09-2020";"15-09-2020";5;63,7;0;0;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"02-09-2020";"15-09-2020";1;4,1;0;0;0;0
"Nederweert";946;"Nederweert";17019;"02-09-2020";"15-09-2020";2;11,8;0;0;0;0
"Nieuwegein";356;"Nieuwegein";63462;"02-09-2020";"15-09-2020";40;63;0;0;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"02-09-2020";"15-09-2020";5;17,4;0;0;0;0
"Nijkerk";267;"Nijkerk";43171;"02-09-2020";"15-09-2020";20;46,3;0;0;0;0
"Nijmegen";268;"Nijmegen";177659;"02-09-2020";"15-09-2020";331;186,3;3;1,7;0;0
"Nissewaard";1930;"Nissewaard";85219;"02-09-2020";"15-09-2020";53;62,2;1;1,2;1;1,2
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"02-09-2020";"15-09-2020";4;8,8;0;0;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"02-09-2020";"15-09-2020";2;27,1;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"02-09-2020";"15-09-2020";5;16;0;0;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"02-09-2020";"15-09-2020";12;25,4;0;0;0;0
"Noordwijk";575;"Noordwijk";43508;"02-09-2020";"15-09-2020";43;98,8;0;0;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"02-09-2020";"15-09-2020";12;51,3;0;0;0;0
"Nunspeet";302;"Nunspeet";27851;"02-09-2020";"15-09-2020";15;53,9;0;0;0;0
"Oegstgeest";579;"Oegstgeest";24840;"02-09-2020";"15-09-2020";20;80,5;0;0;0;0
"Oirschot";823;"Oirschot";18714;"02-09-2020";"15-09-2020";7;37,4;0;0;0;0
"Oisterwijk";824;"Oisterwijk";26245;"02-09-2020";"15-09-2020";7;26,7;0;0;0;0
"Oldambt";1895;"Oldambt";38209;"02-09-2020";"15-09-2020";10;26,2;0;0;0;0
"Oldebroek";269;"Oldebroek";23646;"02-09-2020";"15-09-2020";3;12,7;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"02-09-2020";"15-09-2020";12;37,7;0;0;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"02-09-2020";"15-09-2020";3;16,4;0;0;0;0
"Ommen";175;"Ommen";18009;"02-09-2020";"15-09-2020";13;72,2;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"02-09-2020";"15-09-2020";18;60,8;0;0;0;0
"Oosterhout";826;"Oosterhout";55982;"02-09-2020";"15-09-2020";41;73,2;1;1,8;0;0
"Ooststellingwerf";85;"Ooststellingwerf";25469;"02-09-2020";"15-09-2020";1;3,9;0;0;0;0
"Oostzaan";431;"Oostzaan";9735;"02-09-2020";"15-09-2020";3;30,8;0;0;0;0
"Opmeer";432;"Opmeer";11836;"02-09-2020";"15-09-2020";0;0;0;0;0;0
"Opsterland";86;"Opsterland";29733;"02-09-2020";"15-09-2020";5;16,8;0;0;0;0
"Oss";828;"Oss";91915;"02-09-2020";"15-09-2020";86;93,6;0;0;0;0
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"02-09-2020";"15-09-2020";13;33;0;0;0;0
"Ouder-Amstel";437;"Ouder-Amstel";14026;"02-09-2020";"15-09-2020";31;221;0;0;0;0
"Oudewater";589;"Oudewater";10230;"02-09-2020";"15-09-2020";6;58,7;0;0;0;0
"Overbetuwe";1734;"Overbetuwe";47906;"02-09-2020";"15-09-2020";22;45,9;0;0;0;0
"Papendrecht";590;"Papendrecht";32136;"02-09-2020";"15-09-2020";18;56;0;0;0;0
